Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
50034,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
51601,00000201,false,Rx,0,8,6A,B8,9C,C7,00,FF,F0,FF,
51602,0000029D,false,Rx,0,8,FF,FF,FF,FF,0F,FF,FF,FF,
51603,000002C4,false,Rx,0,8,00,00,00,FF,FF,00,00,0F,
52611,00000308,false,Rx,0,8,FF,F1,FF,FF,FF,FF,FF,FF,
56637,00000199,false,Rx,0,6,18,F5,EB,7E,00,20,00,00,
56638,0000019A,false,Rx,0,6,3E,F5,40,7F,00,10,00,00,
58600,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
60391,000000D9,false,Rx,0,8,A4,F2,00,10,00,F0,7F,CF,
60391,000000A5,false,Rx,0,8,28,01,FF,F7,FF,00,00,C1,
60392,000000A7,false,Rx,0,7,7C,F1,FF,F0,FF,FF,0F,00,
60392,000000DC,false,Rx,0,6,5D,01,22,D0,07,EE,00,00,
61638,00000302,false,Rx,0,7,E1,F5,B6,6F,01,00,00,00,
63470,000001A1,false,Rx,0,5,2E,CA,00,00,81,00,00,00,
63471,00000197,false,Rx,0,4,B1,08,FE,FC,00,00,00,00,
65600,000003A1,false,Rx,0,8,00,01,00,03,00,C0,00,F0,
65601,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
65602,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
66628,0000019F,false,Rx,0,6,71,F6,FD,7F,00,10,00,00,
68169,000002E0,false,Rx,0,6,20,F5,75,40,24,FF,00,00,
68170,00000065,false,Rx,0,8,60,82,00,03,FF,FF,FF,FF,
69230,000002EB,false,Rx,0,8,E6,F2,11,11,11,62,11,FF,
70408,000000D9,false,Rx,0,8,F9,F3,00,10,00,F0,7F,CF,
70409,000001AE,false,Rx,0,3,07,65,1A,00,00,00,00,00,
70409,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
70410,00000145,false,Rx,0,3,C8,9F,F0,00,00,00,00,00,
70410,000001E4,false,Rx,0,8,EC,0D,61,61,11,11,11,11,
71562,000000FA,false,Rx,0,8,03,10,08,02,38,59,28,CA,
71563,00000284,false,Rx,0,8,C8,80,0C,FF,FF,FF,FF,0F,
71563,00000032,false,Rx,0,8,0E,FA,00,00,01,FC,FF,FF,
73686,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
75065,00000102,false,Rx,0,8,AB,91,F0,FF,FF,FF,FF,FF,
75065,00000105,false,Rx,0,8,57,A1,00,F0,FF,FF,FF,FF,
75066,00000328,false,Rx,0,6,B6,6C,D9,05,68,25,00,00,
76632,00000199,false,Rx,0,6,71,F7,D7,7E,00,20,00,00,
76633,0000019A,false,Rx,0,6,39,F7,45,7F,00,10,00,00,
78317,000000CA,false,Rx,0,8,E1,2E,00,00,00,00,FD,F7,
79566,000001C0,false,Rx,0,8,B8,3A,00,40,63,55,55,57,
79567,00000376,false,Rx,0,3,E7,13,11,00,00,00,00,00,
79567,000000D9,false,Rx,0,8,77,F4,00,10,00,F0,7F,CF,
79568,000000A5,false,Rx,0,8,CF,02,FF,F7,FF,00,00,C1,
80814,000000A7,false,Rx,0,7,B6,F2,FF,F0,FF,FF,0F,00,
80815,000000DC,false,Rx,0,6,E3,02,22,D0,07,EE,00,00,
80816,00000163,false,Rx,0,8,C7,F7,04,25,13,15,04,F5,
83605,000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
85451,00000378,false,Rx,0,8,C6,F2,61,21,FF,10,FF,6F,
85452,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
85453,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
86640,0000019F,false,Rx,0,6,40,F8,FF,7F,00,10,00,00,
87634,0000036E,false,Rx,0,5,87,F4,FE,FF,14,00,00,00,
87636,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
87637,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
88769,0000012F,false,Rx,0,8,D5,7B,FA,DD,FF,FF,FF,00,
88770,000003CA,false,Rx,0,8,F1,60,60,FF,08,86,FF,FF,
90594,000000D9,false,Rx,0,8,2A,F5,00,10,00,F0,7F,CF,
90595,000000FA,false,Rx,0,8,05,86,12,08,76,76,76,00,
90596,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
91633,00000510,false,Rx,0,8,40,10,00,02,02,92,01,00,
91634,00000173,false,Rx,0,8,B6,F6,00,02,20,00,D2,98,
94092,00000197,false,Rx,0,4,3E,09,FE,FC,00,00,00,00,
95236,000000AB,false,Rx,0,8,AD,F1,04,00,00,D0,FF,FF,
96631,00000276,false,Rx,0,8,C0,00,00,00,00,C0,FF,FF,
96633,00000199,false,Rx,0,6,61,F9,E1,7E,00,20,00,00,
96635,0000019A,false,Rx,0,6,21,F9,3B,7F,00,10,00,00,
98399,000002A6,false,Rx,0,2,00,B1,00,00,00,00,00,00,
100657,000000D9,false,Rx,0,8,CD,F6,00,10,00,F0,7F,CF,
100658,000000A5,false,Rx,0,8,92,03,FF,F7,FF,00,00,C1,
100660,000000A7,false,Rx,0,7,F0,F3,FF,F0,FF,FF,0F,00,
100662,000000DC,false,Rx,0,6,89,03,22,D0,07,EE,00,00,
100663,000003FD,false,Rx,0,5,30,0E,20,FF,FF,00,00,00,
101671,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
101674,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
101676,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
101678,00000201,false,Rx,0,8,7E,B8,AF,C7,00,FF,F0,FF,
101680,00000302,false,Rx,0,7,EE,F9,B6,6F,01,00,00,00,
103490,000001A1,false,Rx,0,5,47,CC,00,00,81,00,00,00,
105704,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
105707,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
106693,0000019F,false,Rx,0,6,B3,FA,FD,7F,00,10,00,00,
108377,0000003C,false,Rx,0,8,D0,AE,02,92,01,00,2A,FF,
110665,000000D9,false,Rx,0,8,90,F7,00,10,00,F0,7F,CF,
110671,000000FA,false,Rx,0,8,05,FD,FD,FD,FD,FD,FD,E9,
110674,0000026B,false,Rx,0,8,31,12,FD,FF,FF,FF,FF,FF,
110677,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
111677,00000265,false,Rx,0,8,F1,66,88,13,70,30,FF,FF,
111680,0000030C,false,Rx,0,5,61,FA,FE,FF,14,00,00,00,
111681,0000031C,false,Rx,0,8,FF,3F,FF,FF,09,00,40,FD,
113426,000002A7,false,Rx,0,5,34,FA,FE,FF,14,00,00,00,
113430,000001C3,false,Rx,0,8,99,40,00,00,00,00,00,00,
113432,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
113435,000001DD,false,Rx,0,8,00,00,00,F0,FF,FF,FF,FF,
115671,000003C0,false,Rx,0,8,01,44,D4,FD,FF,FF,FF,FF,
116108,0000021D,false,Rx,0,8,00,00,00,FF,FF,FF,FF,FF,
116110,00000203,false,Rx,0,8,2D,80,00,FF,FF,FF,00,C0,
116112,00000199,false,Rx,0,6,B5,FB,E1,7E,00,20,00,00,
116114,0000019A,false,Rx,0,6,28,FB,40,7F,00,10,00,00,
118469,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
118472,000002EB,false,Rx,0,8,BB,F3,11,11,11,62,11,FF,
118473,000001E4,false,Rx,0,8,0B,0E,61,61,11,11,11,11,
119649,000001C0,false,Rx,0,8,E5,3B,00,40,63,55,55,57,
119652,000000D9,false,Rx,0,8,CC,F8,00,10,00,F0,7F,CF,
119654,000000A5,false,Rx,0,8,1C,04,FF,F7,FF,00,00,C1,
120861,000000A7,false,Rx,0,7,3F,F4,FF,F0,FF,FF,0F,00,
120864,000000DC,false,Rx,0,6,82,04,22,D0,07,EE,00,00,
120866,0000032B,false,Rx,0,8,BF,00,32,39,FF,FF,FF,FF,
123485,000001A1,false,Rx,0,5,DA,CD,00,00,81,00,00,00,
123487,00000197,false,Rx,0,4,B2,0A,FE,FC,00,00,00,00,
125620,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
125622,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
125624,0000033A,false,Rx,0,8,0C,2C,28,13,22,19,FD,FD,
126646,0000019F,false,Rx,0,6,D2,FC,FD,7F,00,10,00,00,
128218,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
128221,000002CA,false,Rx,0,2,70,74,00,00,00,00,00,00,
129671,000001BB,false,Rx,0,8,FF,FF,00,FF,FF,FF,FF,FF,
129674,000000D9,false,Rx,0,8,91,F9,00,10,00,F0,7F,CF,
131004,000000FA,false,Rx,0,8,00,E4,00,E0,7F,01,0A,C4,
131007,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
131008,000004A5,false,Rx,0,8,FF,00,00,00,00,00,F0,FF,
134950,000001B3,false,Rx,0,8,C4,12,00,0C,00,FF,FF,97,
134953,000002F8,false,Rx,0,8,0C,2C,28,14,35,EA,07,F1,
136646,00000199,false,Rx,0,6,D2,FD,D7,7E,00,20,00,00,
136649,0000019A,false,Rx,0,6,94,FD,3B,7F,00,10,00,00,
137709,0000034A,false,Rx,0,8,E6,B3,70,FB,59,CE,89,26,
140187,00000064,false,Rx,0,8,B1,FD,F2,FF,FF,FF,FF,FF,
140192,000000D9,false,Rx,0,8,76,FA,00,10,00,F0,7F,CF,
140196,000000A5,false,Rx,0,8,41,05,FF,F7,FF,00,00,C1,
140198,000000A7,false,Rx,0,7,79,F5,FF,F0,FF,FF,0F,00,
140201,000000DC,false,Rx,0,6,E8,05,22,D0,07,EE,00,00,
141612,000001A0,false,Rx,0,5,BA,18,FC,FF,30,00,00,00,
141614,00000173,false,Rx,0,8,50,FB,00,02,20,00,D2,98,
141617,00000302,false,Rx,0,7,EB,FD,B6,6F,01,00,00,00,
143527,000001A1,false,Rx,0,5,60,CE,00,00,81,00,00,00,
145686,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
145688,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
146682,0000019F,false,Rx,0,6,6F,FE,FB,7F,00,10,00,00,
148346,000002A5,false,Rx,0,2,FE,FE,00,00,00,00,00,00,
148349,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
150158,000002BB,false,Rx,0,5,34,F6,3F,00,F2,00,00,00,
150161,000000D9,false,Rx,0,8,2B,FB,00,10,00,F0,7F,CF,
150162,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
151310,000000FA,false,Rx,0,8,02,C0,08,00,C8,07,D0,D7,
151313,00000201,false,Rx,0,8,91,B8,C3,C7,00,FF,F0,FF,
151315,0000029D,false,Rx,0,8,FF,FF,FF,FF,0F,FF,FF,FF,
151317,000002C4,false,Rx,0,8,00,00,00,FF,FF,00,00,0F,
153759,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
153763,00000197,false,Rx,0,4,3D,0B,FE,FC,00,00,00,00,
156635,00000199,false,Rx,0,6,7C,F0,E1,7E,00,20,00,00,
156638,0000019A,false,Rx,0,6,5A,F0,4A,7F,00,10,00,00,
157972,0000034C,false,Rx,0,8,76,00,00,00,AC,03,F0,FF,
157974,000000CA,false,Rx,0,8,E0,20,00,00,00,00,FD,F7,
157976,000003D7,false,Rx,0,8,A8,28,59,96,65,00,00,00,
159731,000001C0,false,Rx,0,8,6B,3C,00,40,63,55,55,57,
159734,000000D9,false,Rx,0,8,A5,FC,00,10,00,F0,7F,CF,
159737,000000A5,false,Rx,0,8,A6,06,FF,F7,FF,00,00,C1,
160828,000000A7,false,Rx,0,7,B3,F6,FF,F0,FF,FF,0F,00,
160833,000000DC,false,Rx,0,6,56,06,22,D0,07,EE,00,00,
160835,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
160838,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
161950,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
